City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Esperance,AU,-33.8667,121.9,55.24,77,53,19.22,broken clouds
80,Ribeira Grande,PT,38.5167,-28.7,75.6,83,20,6.91,few clouds
81,Portalegre,PT,39.2938,-7.4312,98.74,12,0,8.34,clear sky
82,Qaanaaq,GL,77.484,-69.3632,45.86,70,100,5.91,overcast clouds
83,Quelimane,MZ,-17.8786,36.8883,75.15,78,20,11.5,few clouds
84,Geraldton,AU,-28.7667,114.6,55.81,82,55,8.05,broken clouds
85,Tiksi,RU,71.6872,128.8694,40.53,84,17,8.43,few clouds
86,Ilulissat,GL,69.2167,-51.1,62.62,48,75,10.36,broken clouds
87,Guerrero Negro,MX,27.9769,-114.0611,70.47,75,73,13.65,broken clouds
88,Bambous Virieux,MU,-20.3428,57.7575,70.21,83,75,14.97,light intensity shower rain
89,Nyurba,RU,63.2842,118.3319,54.9,94,99,4.63,overcast clouds
90,Namanyere,TZ,-7.5167,31.05,70.0,41,99,4.43,overcast clouds
91,Lavrentiya,RU,65.5833,-171.0,40.21,90,100,20.11,light rain
92,Jamestown,US,42.097,-79.2353,79.02,77,100,14.97,overcast clouds
93,Porto Santo,PT,33.072,-16.3415,71.98,68,75,18.41,broken clouds
94,Barrow,US,71.2906,-156.7887,42.82,81,0,21.85,clear sky
95,Puerto Baquerizo Moreno,EC,-0.9,-89.6,72.59,78,40,10.36,scattered clouds
96,Vila,PT,42.0304,-8.1588,85.69,44,1,9.46,clear sky
97,Mount Gambier,AU,-37.8333,140.7667,46.83,84,40,8.34,scattered clouds
98,Perrysburg,US,41.557,-83.6272,82.98,66,0,14.97,clear sky
99,Cabo San Lucas,MX,22.8909,-109.9124,94.6,45,0,14.97,clear sky
100,Longyearbyen,SJ,78.2186,15.6401,51.64,82,75,8.05,broken clouds
101,Mikuni,JP,36.2171,136.1519,75.11,94,99,8.5,overcast clouds
102,Carnarvon,AU,-24.8667,113.6333,66.99,64,93,15.39,overcast clouds
103,Hvide Sande,DK,56.0045,8.1294,62.1,79,89,18.81,overcast clouds
104,Hobart,AU,-42.8794,147.3294,40.26,92,0,5.75,clear sky
105,Burla,IN,21.5,83.8667,80.83,84,100,6.6,overcast clouds
106,New Norfolk,AU,-42.7826,147.0587,39.9,82,0,3.0,clear sky
107,Bundaberg,AU,-24.85,152.35,63.21,99,100,6.91,light rain
108,Perelyub,RU,51.8667,50.3667,76.73,39,98,9.24,overcast clouds
109,Georgetown,MY,5.4112,100.3354,83.89,83,20,1.14,few clouds
110,Salalah,OM,17.0151,54.0924,77.09,94,100,8.05,overcast clouds
111,Rio Gallegos,AR,-51.6226,-69.2181,32.05,74,0,23.02,clear sky
112,East London,ZA,-33.0153,27.9116,59.94,77,0,8.05,clear sky
113,Adelaide,AU,-34.9333,138.6,57.33,67,75,14.97,broken clouds
114,Pimenta Bueno,BR,-11.6725,-61.1936,91.94,26,4,3.06,clear sky
115,Cherskiy,RU,68.75,161.3,31.71,94,12,11.86,few clouds
116,Kamaishi,JP,39.2667,141.8833,70.34,90,55,3.85,broken clouds
117,Fairbanks,US,64.8378,-147.7164,56.25,75,75,1.01,broken clouds
118,Orlik,RU,52.5178,99.825,53.04,74,98,2.64,overcast clouds
119,Oranjemund,NA,-28.55,16.4333,60.46,59,0,12.15,clear sky
120,Avarua,CK,-21.2078,-159.775,71.65,73,75,9.22,broken clouds
121,Krasnomayskiy,RU,57.6194,34.4099,68.88,58,58,7.83,broken clouds
122,Wenling,CN,28.3669,121.36,80.85,86,67,6.98,broken clouds
123,Souillac,MU,-20.5167,57.5167,68.38,83,75,14.97,light intensity shower rain
124,Baruun-Urt,MN,46.6806,113.2792,73.71,41,45,12.75,scattered clouds
125,Quatre Cocos,MU,-20.2078,57.7625,70.09,70,80,20.67,light rain
126,Bathsheba,BB,13.2167,-59.5167,88.41,83,75,27.63,broken clouds
127,Mahebourg,MU,-20.4081,57.7,70.25,83,75,14.97,light intensity shower rain
