City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
238,Stende,LV,82.67,broken clouds,57.15,22.5333,"Janukalni , SIA"
239,Lishui,CN,79.7,overcast clouds,28.4604,119.9103,Bayi Hotel
241,Vaitape,PF,76.71,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
248,Sulangan,PH,84.72,light rain,11.1373,123.7228,Maia's Beach Resort
250,Karachi,PK,84.02,broken clouds,24.9056,67.0822,Sadaat
252,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
255,Uige,AO,77.02,few clouds,-7.6087,15.0613,Hotel Catraio
256,Belize,BZ,84.52,broken clouds,17.25,-88.75,Villa San Juan
261,Bouna,CI,89.1,broken clouds,9.2667,-3.0,Hôtel lababa
262,Acarau,BR,87.91,broken clouds,-2.8856,-40.12,castelo pizzaria
263,Nanyang,CN,78.53,few clouds,32.9947,112.5328,Wolong Memory Hotel
264,Idlib,SY,84.02,clear sky,35.9306,36.6339,مركز تسيل للتجميل
266,Naze,JP,81.52,broken clouds,28.3667,129.4833,Shishime Hotel
269,Kijang,KR,78.53,clear sky,35.2442,129.2139,Samyang Beach Villa
273,Hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Bungalow 63
276,Taormina,IT,86.45,clear sky,37.8536,15.2885,Taormina Hotel Villa Ducale
278,Nouadhibou,MR,78.78,clear sky,20.931,-17.0347,El Medina
280,Kavaratti,IN,80.96,overcast clouds,10.5669,72.642,Green leaf
282,Eyl,SO,77.59,overcast clouds,7.9803,49.8164,Amiin Hotel
284,Gat,IL,86.4,clear sky,31.61,34.7642,OlusHome
285,Lata,PT,85.5,clear sky,40.1629,-8.3327,Casa Maquia
286,Kota Kinabalu,MY,80.58,few clouds,5.9749,116.0724,Gaya Centre Hotel
288,Raub,MY,75.11,overcast clouds,3.7899,101.857,Daniels Guest House Raub
291,Carballo,ES,81.82,broken clouds,43.213,-8.691,Pazo do Souto
294,Jieshi,CN,83.37,clear sky,22.8134,115.8257,Yuehai Hotel
297,Havelock,US,89.06,scattered clouds,34.8791,-76.9013,Sherwood Motel
298,Kontagora,NG,80.46,moderate rain,10.3999,5.4695,Queens Guest Inn
